scenario_id,keele_date,scenario_site,fleet_size,participation_rate,participant_count,site_limit_kw,strategy,forecast_source,required_energy_kwh,delivered_energy_kwh,unserved_energy_kwh,service_rate,renewable_absorbed_kwh,residual_surplus_kwh,ev_grid_energy_kwh,peak_ev_kw,peak_total_load_kw
20230707_pooled_F25_P100_S42,2023-07-07,pooled,25,1.0,25,100.0,fixed_delayed,none,223.24900000000002,247.77444444444444,0.0,1.0,199.0933333333333,12514.722422528404,48.68111111111109,85.8,2113.052
20230707_pooled_F25_P100_S43,2023-07-07,pooled,25,1.0,25,100.0,immediate,none,221.69899999999998,246.33222222222224,0.0,1.0,189.67333333333335,12524.142422528403,56.658888888888896,59.4,2095.154
20230707_pooled_F25_P100_S43,2023-07-07,pooled,25,1.0,25,100.0,fixed_delayed,none,221.69899999999998,245.9455555555556,0.29300000000000004,0.96,217.21777777777777,12496.597978083957,28.727777777777806,100.00000000000001,2127.252
20230707_pooled_F50_P025_S42,2023-07-07,pooled,50,0.25,12,200.0,immediate,none,123.061,136.51444444444445,0.0,1.0,91.1266666666667,12622.68908919507,45.387777777777785,33.0,2088.554
20230707_pooled_F50_P025_S42,2023-07-07,pooled,50,0.25,12,200.0,fixed_delayed,none,123.061,136.51444444444445,0.0,1.0,99.66444444444446,12614.151311417292,36.85,52.8,2077.742333333333
20230707_pooled_F50_P025_S43,2023-07-07,pooled,50,0.25,12,200.0,immediate,none,90.458,100.50888888888888,0.0,1.0,72.96666666666665,12640.849089195071,27.542222222222225,26.4,2075.354
20230707_pooled_F50_P025_S43,2023-07-07,pooled,50,0.25,12,200.0,fixed_delayed,none,90.458,100.1222222222222,0.29300000000000004,0.9166666666666666,89.34222222222219,12624.473533639513,10.780000000000005,54.04,2077.965
20230707_pooled_F50_P050_S42,2023-07-07,pooled,50,0.5,25,200.0,immediate,none,223.24900000000002,247.83444444444444,0.0,1.0,163.66555555555558,12550.15020030618,84.16888888888887,39.599999999999994,2095.154
20230707_pooled_F50_P050_S42,2023-07-07,pooled,50,0.5,25,200.0,fixed_delayed,none,223.24900000000002,247.77444444444444,0.0,1.0,199.0933333333333,12514.722422528404,48.68111111111109,85.8,2113.052
20230707_pooled_F50_P050_S43,2023-07-07,pooled,50,0.5,25,200.0,immediate,none,221.69899999999998,246.33222222222224,0.0,1.0,189.67333333333335,12524.142422528403,56.658888888888896,59.4,2095.154
20230707_pooled_F50_P050_S43,2023-07-07,pooled,50,0.5,25,200.0,fixed_delayed,none,221.69899999999998,245.9455555555556,0.29300000000000004,0.96,221.28,12492.535755861736,24.665555555555585,126.64,2150.565
20230707_pooled_F50_P075_S42,2023-07-07,pooled,50,0.75,38,200.0,immediate,none,391.22999999999996,434.2600000000001,0.0,1.0,284.6792991682158,12429.136456693523,149.58070083178427,66.0,2121.554
20230707_pooled_F50_P075_S42,2023-07-07,pooled,50,0.75,38,200.0,fixed_delayed,none,391.22999999999996,434.20000000000005,0.0,1.0,330.59374361266015,12383.222012249078,103.60625638733984,137.66666666666674,2152.652
20230707_pooled_F50_P075_S43,2023-07-07,pooled,50,0.75,38,200.0,immediate,none,379.10200000000003,421.11444444444453,0.0,1.0,329.8166666666667,12383.99908919507,91.29777777777778,92.39999999999999,2128.154
20230707_pooled_F50_P075_S43,2023-07-07,pooled,50,0.75,38,200.0,fixed_delayed,none,379.10200000000003,420.5555555555556,0.29300000000000004,0.9736842105263158,371.7011111111111,12342.114644750627,48.85444444444448,179.44,2203.365
20230707_pooled_F50_P100_S42,2023-07-07,pooled,50,1.0,50,200.0,immediate,none,605.239,671.6111111111111,0.0,1.0,467.65041027932693,12246.165345582409,203.96070083178427,105.6,2147.954
20230707_pooled_F50_P100_S42,2023-07-07,pooled,50,1.0,50,200.0,fixed_delayed,none,605.239,670.98,0.0,1.0,546.3659658348824,12167.449790026856,124.61403416511763,200.00000000000009,2216.485
20230707_pooled_F50_P100_S43,2023-07-07,pooled,50,1.0,50,200.0,immediate,none,547.559,607.848888888889,0.0,1.0,470.4122222222222,12243.403533639512,137.43666666666667,121.21333333333332,2154.554
20230707_pooled_F50_P100_S43,2023-07-07,pooled,50,1.0,50,200.0,fixed_delayed,none,547.559,607.25,0.29300000000000004,0.98,550.5899999999999,12163.225755861737,56.660000000000025,200.0000000000001,2227.252
