scenario_id,vehicle_id,DateTime,charging_kw,strategy,forecast_source
20230707_pooled_F10_P025_S42,EV002,2023-07-07 14:15:00,6.3600000000001105,fixed_delayed,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 08:20:00,6.6,immediate,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 08:25:00,6.6,immediate,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 08:30:00,6.6,immediate,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 08:35:00,6.6,immediate,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 08:40:00,6.6,immediate,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 08:45:00,6.6,immediate,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 08:50:00,6.6,immediate,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 08:55:00,6.6,immediate,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 09:00:00,6.6,immediate,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 09:05:00,6.6,immediate,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 09:10:00,6.6,immediate,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 09:15:00,6.6,immediate,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 09:20:00,6.6,immediate,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 09:25:00,6.6,immediate,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 09:30:00,6.6,immediate,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 09:35:00,6.6,immediate,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 09:40:00,6.6,immediate,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 09:45:00,6.6,immediate,none
20230707_pooled_F10_P025_S43,EV001,2023-07-07 09:45:00,6.6,immediate,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 09:50:00,6.6,immediate,none
20230707_pooled_F10_P025_S43,EV001,2023-07-07 09:50:00,6.6,immediate,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 09:55:00,6.6,immediate,none
20230707_pooled_F10_P025_S43,EV001,2023-07-07 09:55:00,6.6,immediate,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 10:00:00,6.6,immediate,none
20230707_pooled_F10_P025_S43,EV001,2023-07-07 10:00:00,6.6,immediate,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 10:05:00,6.6,immediate,none
20230707_pooled_F10_P025_S43,EV001,2023-07-07 10:05:00,6.6,immediate,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 10:10:00,6.6,immediate,none
20230707_pooled_F10_P025_S43,EV001,2023-07-07 10:10:00,6.6,immediate,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 10:15:00,5.613333333333384,immediate,none
20230707_pooled_F10_P025_S43,EV001,2023-07-07 10:15:00,6.6,immediate,none
20230707_pooled_F10_P025_S43,EV001,2023-07-07 10:20:00,6.6,immediate,none
20230707_pooled_F10_P025_S43,EV001,2023-07-07 10:25:00,6.6,immediate,none
20230707_pooled_F10_P025_S43,EV001,2023-07-07 10:30:00,6.6,immediate,none
20230707_pooled_F10_P025_S43,EV001,2023-07-07 10:35:00,0.0933333333333312,immediate,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 11:00:00,6.6,fixed_delayed,none
20230707_pooled_F10_P025_S43,EV001,2023-07-07 11:00:00,6.6,fixed_delayed,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 11:05:00,6.6,fixed_delayed,none
20230707_pooled_F10_P025_S43,EV001,2023-07-07 11:05:00,6.6,fixed_delayed,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 11:10:00,6.6,fixed_delayed,none
20230707_pooled_F10_P025_S43,EV001,2023-07-07 11:10:00,6.6,fixed_delayed,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 11:15:00,6.6,fixed_delayed,none
20230707_pooled_F10_P025_S43,EV001,2023-07-07 11:15:00,6.6,fixed_delayed,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 11:20:00,6.6,fixed_delayed,none
20230707_pooled_F10_P025_S43,EV001,2023-07-07 11:20:00,6.6,fixed_delayed,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 11:25:00,6.6,fixed_delayed,none
20230707_pooled_F10_P025_S43,EV001,2023-07-07 11:25:00,6.6,fixed_delayed,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 11:30:00,6.6,fixed_delayed,none
20230707_pooled_F10_P025_S43,EV001,2023-07-07 11:30:00,6.6,fixed_delayed,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 11:35:00,6.6,fixed_delayed,none
20230707_pooled_F10_P025_S43,EV001,2023-07-07 11:35:00,6.6,fixed_delayed,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 11:40:00,6.6,fixed_delayed,none
20230707_pooled_F10_P025_S43,EV001,2023-07-07 11:40:00,6.6,fixed_delayed,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 11:45:00,6.6,fixed_delayed,none
20230707_pooled_F10_P025_S43,EV001,2023-07-07 11:45:00,6.6,fixed_delayed,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 11:50:00,6.6,fixed_delayed,none
20230707_pooled_F10_P025_S43,EV001,2023-07-07 11:50:00,0.0933333333333312,fixed_delayed,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 11:55:00,6.6,fixed_delayed,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 12:00:00,6.6,fixed_delayed,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 12:05:00,6.6,fixed_delayed,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 12:10:00,6.6,fixed_delayed,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 12:15:00,6.6,fixed_delayed,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 12:20:00,6.6,fixed_delayed,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 12:25:00,6.6,fixed_delayed,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 12:30:00,6.6,fixed_delayed,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 12:35:00,6.6,fixed_delayed,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 12:40:00,6.6,fixed_delayed,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 12:45:00,6.6,fixed_delayed,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 12:50:00,6.6,fixed_delayed,none
20230707_pooled_F10_P025_S43,EV002,2023-07-07 12:55:00,5.613333333333384,fixed_delayed,none
20230707_pooled_F10_P050_S42,EV005,2023-07-07 06:25:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV005,2023-07-07 06:30:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV005,2023-07-07 06:35:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV005,2023-07-07 06:40:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV005,2023-07-07 06:45:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV005,2023-07-07 06:50:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV005,2023-07-07 06:55:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV005,2023-07-07 07:00:00,6.6,immediate,none
