date,renewable_energy_kwh,campus_energy_kwh,surplus_energy_kwh,peak_surplus_kw,valid_intervals,total_intervals,surplus_intervals,data_completeness
2022-05-13,30815.43425,38859.120416666665,4928.065666666666,1571.6280000000002,288,288,94,1.0
2022-07-10,22847.201916666665,27921.137,4855.126333333333,1519.5209999999997,288,288,120,1.0
2022-05-07,21823.65625,32069.36408333333,4853.218916666667,1710.2819999999997,288,288,63,1.0
2023-05-12,32691.3405,48687.51525,4851.254166666667,1532.5250000000005,288,288,60,1.0
2023-05-03,38864.61533333333,50561.09533333333,4813.638,1960.7640000000001,288,288,81,1.0
2022-08-07,21079.068916666667,26827.67508333333,4800.307583333333,1459.4199999999998,288,288,123,1.0
2022-07-09,23118.482666666667,28020.772833333333,4782.306916666666,1333.8429999999996,288,288,132,1.0
2022-05-10,31566.45725,39843.26508333333,4687.001083333333,1310.4619999999995,288,288,87,1.0
2022-04-24,26659.658916666664,32523.3235,4684.023999999999,1320.6200000000001,288,288,102,1.0
2023-07-19,26819.106083333332,39994.99808333333,4655.371333333333,2311.7029999999995,288,288,91,1.0
2022-07-11,28322.9675,35998.58558333333,4553.715833333333,1427.3510000000006,288,288,89,1.0
2022-07-02,21798.04983333333,27597.371416666665,4521.914916666667,1166.0690000000002,288,288,102,1.0
2022-07-08,25239.09633333333,33508.55875,4485.537083333333,1394.52,288,288,91,1.0
2022-06-20,28408.321166666665,35372.7155,4463.948333333333,1706.4629999999997,288,288,83,1.0
2023-07-12,23664.505948136233,39476.05016666667,4460.061495497218,2708.0674681466735,288,288,53,1.0
2023-04-18,34613.659999999996,51490.48733333333,4363.5365833333335,1885.7610000000004,288,288,56,1.0
2023-09-23,22440.035916666664,32808.97183333333,4320.296833333333,1453.5260000000003,288,288,78,1.0
2023-08-11,23877.87575,36566.64225,4308.25025,1817.9849999999997,288,288,73,1.0
2023-03-22,35295.03558333333,43972.67316666667,4299.816833333333,1135.364,288,288,83,1.0
2022-09-17,21360.24508333333,29730.387416666665,4280.489583333333,1368.3909999999996,288,288,89,1.0
2022-06-19,22620.001666666667,28852.678333333333,4223.966083333333,1357.7970000000003,288,288,97,1.0
2023-06-25,27686.399416666663,35649.14483333333,4126.779583333333,1548.344,288,288,88,1.0
2023-07-25,24114.243,36701.632249999995,4097.857583333333,1601.0919999999996,288,288,68,1.0
2023-08-09,24422.603499999997,35272.733166666665,4019.5866666666666,1911.29,288,288,70,1.0
2022-06-16,28297.11033333333,36222.305583333335,3988.181833333333,1483.2409999999995,288,288,97,1.0
2022-08-01,24596.539166666666,33246.8895,3972.3516666666665,1446.8159999999998,288,288,87,1.0
2022-07-03,19406.633749999997,26026.39025,3947.1751666666664,1208.876,288,288,96,1.0
2023-04-25,29901.377863648475,54548.27973895582,3920.602,1517.9880000000003,288,288,57,1.0
2023-10-08,16524.5265,35055.52091666667,3885.8067499999997,1718.9260000000002,288,288,53,1.0
2022-04-29,28954.93133333333,41283.256166666666,3872.60275,1160.8180000000002,288,288,87,1.0
2023-08-30,22608.873083333332,32853.561,3838.3289166666664,1511.024,288,288,67,1.0
2022-07-14,24097.47875,33331.621166666664,3835.7026666666666,1504.7290000000003,288,288,77,1.0
2023-10-17,32223.371916666663,49779.0845,3813.93875,1541.5069999999996,288,288,51,1.0
2023-07-06,27763.343979710808,40051.301666666666,3803.4430347332145,2159.3605072690325,288,288,67,1.0
2022-05-08,19704.134666666665,30236.785083333332,3770.2161666666666,1441.207,288,288,65,1.0
2023-05-30,30442.364416666664,46685.430166666665,3764.1299166666663,1845.2309999999998,288,288,57,1.0
