surplus_event_id,start_time,end_time,interval_count,peak_surplus_kw,mean_surplus_kw,surplus_energy_kwh,duration_minutes
1.0,2022-04-12 12:15:00,2022-04-12 12:30:00,4,344.6569999999997,144.74099999999999,48.24699999999999,20
3.0,2022-04-12 12:55:00,2022-04-12 13:00:00,2,344.4369999999999,206.53149999999994,34.421916666666654,10
5.0,2022-04-13 11:35:00,2022-04-13 11:50:00,4,696.7629999999999,436.67724999999984,145.55908333333326,20
7.0,2022-04-13 12:00:00,2022-04-13 12:15:00,4,1595.3650000000002,856.5552499999999,285.5184166666666,20
9.0,2022-04-13 12:25:00,2022-04-13 13:05:00,9,1711.009,786.2111111111112,589.6583333333333,45
11.0,2022-04-13 13:25:00,2022-04-13 13:50:00,6,1086.2399999999998,467.5278333333334,233.76391666666666,30
13.0,2022-04-13 14:10:00,2022-04-13 14:10:00,1,1.7200000000002547,1.7200000000002547,0.14333333333335455,5
15.0,2022-04-13 14:45:00,2022-04-13 15:00:00,4,1202.011,515.59575,171.86524999999997,20
17.0,2022-04-14 11:20:00,2022-04-14 11:20:00,1,1101.777,1101.777,91.81475,5
19.0,2022-04-14 11:30:00,2022-04-14 11:30:00,1,254.31300000000033,254.31300000000033,21.192750000000025,5
21.0,2022-04-15 07:25:00,2022-04-15 07:25:00,1,3.2110000000000127,3.2110000000000127,0.2675833333333344,5
23.0,2022-04-15 08:55:00,2022-04-15 09:05:00,3,134.04300000000012,94.49533333333345,23.62383333333336,15
25.0,2022-04-15 09:15:00,2022-04-15 09:15:00,1,666.9870000000003,666.9870000000003,55.58225000000002,5
27.0,2022-04-15 09:25:00,2022-04-15 12:00:00,32,1515.4749999999997,822.66284375,2193.7675833333333,160
29.0,2022-04-15 12:15:00,2022-04-15 12:20:00,2,26.675000000000182,18.33400000000006,3.055666666666676,10
31.0,2022-04-15 12:30:00,2022-04-15 12:30:00,1,210.73000000000025,210.73000000000025,17.560833333333353,5
33.0,2022-04-15 12:45:00,2022-04-15 12:45:00,1,83.7059999999999,83.7059999999999,6.975499999999991,5
35.0,2022-04-15 12:55:00,2022-04-15 13:25:00,7,627.6830000000002,368.01014285714285,214.67258333333334,35
37.0,2022-04-15 13:35:00,2022-04-15 14:30:00,12,929.8599999999999,501.65616666666665,501.65616666666665,60
39.0,2022-04-15 14:45:00,2022-04-15 14:45:00,1,17.779999999999973,17.779999999999973,1.4816666666666642,5
41.0,2022-04-15 14:55:00,2022-04-15 15:25:00,7,1328.4190000000003,851.9418571428571,496.9660833333333,35
43.0,2022-04-15 15:55:00,2022-04-15 16:00:00,2,274.23199999999997,256.14700000000005,42.691166666666675,10
45.0,2022-04-15 16:25:00,2022-04-15 16:25:00,1,170.2840000000001,170.2840000000001,14.190333333333342,5
47.0,2022-04-16 08:10:00,2022-04-16 08:15:00,2,22.7829999999999,13.367500000000064,2.227916666666677,10
49.0,2022-04-16 08:30:00,2022-04-16 16:05:00,92,1624.64,969.0107934782609,7429.08275,460
51.0,2022-04-16 16:40:00,2022-04-16 16:40:00,1,113.32499999999982,113.32499999999982,9.443749999999984,5
53.0,2022-04-16 16:50:00,2022-04-16 16:50:00,1,166.36900000000014,166.36900000000014,13.864083333333344,5
55.0,2022-04-17 07:40:00,2022-04-17 07:40:00,1,37.830999999999904,37.830999999999904,3.1525833333333253,5
57.0,2022-04-17 07:55:00,2022-04-17 16:05:00,99,1419.6620000000003,877.8292525252526,7242.091333333333,495
59.0,2022-04-18 08:10:00,2022-04-18 08:10:00,1,2.5269999999998163,2.5269999999998163,0.21058333333331802,5
61.0,2022-04-18 08:20:00,2022-04-18 08:25:00,2,87.69799999999987,87.3365,14.556083333333333,10
63.0,2022-04-18 08:35:00,2022-04-18 10:50:00,28,1227.7099999999998,541.2073571428572,1262.8171666666665,140
65.0,2022-04-18 11:05:00,2022-04-18 11:05:00,1,807.8790000000001,807.8790000000001,67.32325,5
67.0,2022-04-18 11:15:00,2022-04-18 11:35:00,5,387.06600000000003,267.1160000000001,111.29833333333335,25
69.0,2022-04-18 11:45:00,2022-04-18 12:05:00,5,1106.2700000000002,520.1746,216.7394166666667,25
71.0,2022-04-18 12:15:00,2022-04-18 12:15:00,1,236.8950000000002,236.8950000000002,19.741250000000015,5
73.0,2022-04-18 12:25:00,2022-04-18 12:25:00,1,242.56099999999992,242.56099999999992,20.21341666666666,5
75.0,2022-04-18 12:35:00,2022-04-18 12:35:00,1,42.44399999999996,42.44399999999996,3.5369999999999964,5
77.0,2022-04-18 12:45:00,2022-04-18 12:45:00,1,70.42499999999995,70.42499999999995,5.868749999999996,5
79.0,2022-04-18 13:00:00,2022-04-18 13:05:00,2,518.3820000000001,492.74249999999995,82.12374999999999,10
81.0,2022-04-18 13:15:00,2022-04-18 13:15:00,1,225.16599999999994,225.16599999999994,18.763833333333327,5
83.0,2022-04-19 08:40:00,2022-04-19 09:35:00,12,510.076,327.5883333333334,327.5883333333334,60
85.0,2022-04-19 09:45:00,2022-04-19 09:50:00,2,725.8650000000002,455.43200000000036,75.90533333333339,10
87.0,2022-04-19 10:00:00,2022-04-19 10:05:00,2,328.8090000000002,205.3425000000002,34.22375000000003,10
89.0,2022-04-19 10:15:00,2022-04-19 10:20:00,2,970.8509999999997,582.0944999999999,97.01574999999997,10
91.0,2022-04-19 10:30:00,2022-04-19 11:05:00,8,1440.9430000000002,754.8823750000001,503.25491666666676,40
93.0,2022-04-19 11:30:00,2022-04-19 11:45:00,4,931.3829999999998,576.7785,192.2595,20
95.0,2022-04-20 08:15:00,2022-04-20 08:25:00,3,146.84799999999996,80.25833333333321,20.064583333333303,15
97.0,2022-04-20 08:35:00,2022-04-20 10:40:00,26,648.9200000000001,365.929923076923,792.8481666666664,130
99.0,2022-04-20 10:50:00,2022-04-20 10:50:00,1,164.9269999999999,164.9269999999999,13.743916666666658,5
101.0,2022-04-20 11:05:00,2022-04-20 13:10:00,26,1370.9779999999996,724.0033846153846,1568.6739999999998,130
103.0,2022-04-20 13:40:00,2022-04-20 14:10:00,7,796.2750000000001,545.3518571428573,318.1219166666667,35
105.0,2022-04-20 14:20:00,2022-04-20 14:20:00,1,550.556,550.556,45.879666666666665,5
107.0,2022-04-20 14:30:00,2022-04-20 15:40:00,15,930.5340000000001,648.6569999999999,810.82125,75
109.0,2022-04-20 15:55:00,2022-04-20 16:00:00,2,283.53599999999983,248.99000000000012,41.49833333333335,10
111.0,2022-04-20 16:20:00,2022-04-20 16:30:00,3,215.64499999999998,91.50033333333333,22.875083333333333,15
113.0,2022-04-21 08:15:00,2022-04-21 08:15:00,1,148.6289999999999,148.6289999999999,12.385749999999991,5
115.0,2022-04-21 08:25:00,2022-04-21 12:35:00,51,1491.312,892.8327843137254,3794.539333333333,255
117.0,2022-04-21 12:45:00,2022-04-21 12:50:00,2,749.3349999999996,606.8584999999998,101.1430833333333,10
119.0,2022-04-21 13:05:00,2022-04-21 13:05:00,1,443.4630000000002,443.4630000000002,36.955250000000014,5
121.0,2022-04-21 13:15:00,2022-04-21 13:25:00,3,326.9789999999998,256.3063333333332,64.0765833333333,15
123.0,2022-04-21 13:40:00,2022-04-21 14:50:00,15,1243.9810000000002,610.4760666666666,763.0950833333333,75
125.0,2022-04-21 15:00:00,2022-04-21 15:20:00,5,459.11699999999973,288.87160000000006,120.3631666666667,25
127.0,2022-04-21 15:30:00,2022-04-21 15:30:00,1,575.0439999999996,575.0439999999996,47.9203333333333,5
129.0,2022-04-21 15:40:00,2022-04-21 15:45:00,2,380.8700000000001,262.24800000000005,43.708000000000006,10
131.0,2022-04-21 15:55:00,2022-04-21 16:30:00,8,538.7610000000002,306.115375,204.07691666666665,40
133.0,2022-04-21 16:45:00,2022-04-21 16:45:00,1,188.8900000000001,188.8900000000001,15.740833333333342,5
135.0,2022-04-21 16:55:00,2022-04-21 17:05:00,3,116.59600000000023,72.80366666666676,18.20091666666669,15
137.0,2022-04-22 09:35:00,2022-04-22 09:35:00,1,114.49999999999977,114.49999999999977,9.541666666666647,5
139.0,2022-04-22 09:50:00,2022-04-22 09:50:00,1,31.34400000000005,31.34400000000005,2.612000000000004,5
141.0,2022-04-22 10:05:00,2022-04-22 10:05:00,1,11.385999999999967,11.385999999999967,0.9488333333333305,5
143.0,2022-04-22 10:15:00,2022-04-22 10:25:00,3,214.00099999999998,113.87299999999989,28.46824999999997,15
145.0,2022-04-22 10:55:00,2022-04-22 11:40:00,10,1009.8599999999997,565.3583,471.13191666666665,50
147.0,2022-04-22 11:50:00,2022-04-22 12:45:00,12,907.3049999999998,444.12224999999995,444.12224999999995,60
149.0,2022-04-22 12:55:00,2022-04-22 14:25:00,19,1059.5930000000003,569.9105789473684,902.3584166666667,95
151.0,2022-04-22 14:40:00,2022-04-22 16:50:00,27,1292.181,661.6196296296296,1488.6441666666665,135
153.0,2022-04-22 17:00:00,2022-04-22 17:05:00,2,355.2180000000001,223.38300000000004,37.230500000000006,10
155.0,2022-04-23 07:10:00,2022-04-23 07:10:00,1,30.55300000000011,30.55300000000011,2.5460833333333426,5
