site,sessions,first_arrival,last_arrival,median_arrival_hour,median_departure_hour,median_energy_delivered_kwh,mean_energy_delivered_kwh,median_energy_required_kwh,median_dwell_hours,median_minimum_charge_hours,median_flexibility_hours,flexible_session_share,overnight_share,assumed_power_share,infeasible_under_assumed_power_share
caltech,10594,2019-01-01 03:45:49+00:00,2019-12-31 21:57:23+00:00,10.25,17.25,6.233,8.922272774318104,6.233,5.808472222222222,1.0493265993265994,3.956296296296296,0.9313762507079479,0.04785727770436096,1.0,0.0686237492920521
jpl,17409,2019-01-02 01:00:51+00:00,2019-12-31 22:17:15+00:00,7.383333333333334,16.55,11.506,14.568820242515047,11.506,8.426388888888889,1.9370370370370373,4.690664983164983,0.9474409788040669,0.013096674134068585,1.0,0.052559021195933135
office001,921,2019-03-25 16:24:42+00:00,2019-12-31 21:35:43+00:00,11.183333333333334,17.166666666666668,12.337,15.445923651827723,12.337,5.881388888888889,2.076936026936027,2.8883235596707815,0.8327904451682954,0.0010857763300760044,1.0,0.16720955483170466
